Dimension 1,Dimension 2,prediction
-20.756092,-61.620743,285
0.75011736,-131.88454,343
109.46432,-24.516426,402
-34.256084,-44.27109,432
-34.33032,-44.259666,432
42.457256,-96.83546,416
93.347855,105.96045,-1
41.44984,85.449,301
43.951363,84.22451,301
25.367989,78.50639,326
19.86587,88.07827,330
-121.06056,-12.724334,94
-66.70275,-27.703278,284
40.993145,-94.107346,416
-69.28255,27.016644,-1
-121.508095,7.582738,-1
-30.60309,15.198645,270
52.044548,135.38545,53
2.732085,46.57385,338
-7.145447,-0.95396954,454
-74.078224,106.23733,-1
146.29672,59.33961,67
6.700582,-115.94284,341
7.5665703,-116.66111,341
-52.95341,-43.98248,449
-58.95397,-27.158033,284
56.458847,12.985201,465
74.48009,14.935252,-1
-89.86482,-118.5685,-1
-76.00946,-132.89465,-1
-68.92619,-99.465225,381
32.32129,-30.418268,468
32.57273,-29.042309,468
-8.443428,-181.85228,96
8.160238,-143.38655,121
7.179246,-143.96243,121
-57.588818,162.69962,-1
-48.094673,3.6277726,262
-93.22188,15.182416,132
37.978844,128.89827,322
65.20703,15.760628,-1
48.646446,-163.63477,155
57.060394,-152.02794,155
98.87678,50.437206,209
-14.922611,-41.17898,-1
70.76909,66.96966,-1
-83.28927,-114.566246,409
-134.3188,-23.106495,31
-132.8803,-23.899965,31
-109.608246,-62.70287,218
-63.872753,-27.889528,284
-113.24673,52.23336,131
86.98681,126.82292,227
-2.0583017,-17.781483,424
-48.961617,77.48494,95
-48.970066,77.61238,95
-7.641242,-139.04628,123
9.879335,-87.915535,340
-64.331345,-134.40445,-1
81.30699,131.51518,221
-106.8923,95.8069,144
164.56601,29.817804,46
72.710464,1.165102,396
72.69228,1.1440374,396
116.303246,-60.385525,295
-52.721905,-19.162025,284
71.79961,-49.707577,292
147.73346,10.335321,141
-8.298408,-155.98431,-1
34.375645,86.844,311
-77.64629,136.90356,113
173.85953,23.831963,43
178.70491,20.179432,43
67.3315,62.378445,382
