Dimension 1,Dimension 2,prediction
111.08058,65.42546,490
55.866848,-113.87074,491
91.23725,-18.669516,492
91.08119,-18.69501,492
89.18079,-22.062044,-1
-69.33951,-82.73588,-1
9.610127,-126.818405,493
86.8277,-18.259092,-1
-59.12406,52.123966,1097
-68.05583,46.212887,494
-35.55268,-129.87848,495
-1.9217777,-155.43945,496
-2.4564137,-156.05385,496
-40.47956,122.21821,497
-41.174942,122.64055,497
80.101944,12.506128,-1
40.812603,115.5998,498
-16.118908,78.41216,-1
99.52686,-60.921387,499
81.9867,-89.49045,500
-88.43227,-70.94009,501
11.906089,-59.26732,502
-29.820974,-66.76545,503
-6.2815604,-100.42464,3813
-56.755135,61.68907,40
44.067966,-57.897015,504
101.11565,129.49283,505
86.48735,39.41378,506
72.61081,-113.16455,507
95.19759,114.494194,-1
112.65562,34.398666,3945
53.54603,-133.2757,-1
-151.69542,-29.482994,508
48.384666,90.837296,509
